trial,video,key,reaction_time,correct,speed
1,./3Ball/3Ball_No_Screen1.mp4,1,3.752,True,0.8
2,./3Ball/3Ball_No_Screen3.mp4,3,3.898,True,0.8
3,./3Ball/3Ball_No_Screen2.mp4,2,4.04,True,0.8
4,./3Ball/3Ball_No_Screen2.mp4,2,4.43,True,0.8
5,./3Ball/3Ball_No_Screen3.mp4,3,3.943,True,0.8
6,./3Ball/3Ball_No_Screen1.mp4,1,3.678,True,0.8
7,./3Ball/3Ball_No_Screen3.mp4,3,3.798,True,0.8
8,./3Ball/3Ball_No_Screen2.mp4,2,4.782,True,0.8
9,./3Ball/3Ball_No_Screen2.mp4,2,5.207,True,0.8
10,./3Ball/3Ball_No_Screen2.mp4,2,4.397,True,0.8
11,./3Ball/3Ball_No_Screen1.mp4,1,3.734,True,0.8
12,./3Ball/3Ball_No_Screen2.mp4,2,4.246,True,0.8
13,./3Ball/3Ball_No_Screen1.mp4,1,3.072,True,0.8
14,./3Ball/3Ball_No_Screen2.mp4,2,4.119,True,0.8
15,./3Ball/3Ball_No_Screen2.mp4,2,4.607,True,0.8
16,./3Ball/3Ball_No_Screen2.mp4,2,4.574,True,0.8
17,./3Ball/3Ball_No_Screen1.mp4,1,3.767,True,0.8
18,./3Ball/3Ball_No_Screen1.mp4,1,3.59,True,0.8
19,./3Ball/3Ball_No_Screen2.mp4,2,4.206,True,0.8
20,./3Ball/3Ball_No_Screen2.mp4,2,4.342,True,0.8
1,./3Ball/3Ball_No_Screen2.mp4,2,4.211,True,0.8
2,./3Ball/3Ball_No_Screen1.mp4,1,3.445,True,0.8
3,./3Ball/3Ball_No_Screen2.mp4,2,4.079,True,0.8
4,./3Ball/3Ball_No_Screen3.mp4,3,3.712,True,0.8
5,./3Ball/3Ball_No_Screen1.mp4,1,3.525,True,0.8
6,./3Ball/3Ball_No_Screen3.mp4,3,3.576,True,0.8
7,./3Ball/3Ball_No_Screen3.mp4,3,4.008,True,0.8
8,./3Ball/3Ball_No_Screen3.mp4,3,3.487,True,0.8
9,./3Ball/3Ball_No_Screen1.mp4,1,3.757,True,0.8
10,./3Ball/3Ball_No_Screen2.mp4,2,4.654,True,0.8
11,./3Ball/3Ball_No_Screen2.mp4,2,4.615,True,0.8
12,./3Ball/3Ball_No_Screen3.mp4,3,3.719,True,0.8
13,./3Ball/3Ball_No_Screen2.mp4,2,4.391,True,0.8
14,./3Ball/3Ball_No_Screen1.mp4,1,3.877,True,0.8
15,./3Ball/3Ball_No_Screen3.mp4,3,3.761,True,0.8
16,./3Ball/3Ball_No_Screen2.mp4,2,4.438,True,0.8
17,./3Ball/3Ball_No_Screen1.mp4,1,4.199,True,0.8
18,./3Ball/3Ball_No_Screen3.mp4,3,3.672,True,0.8
19,./3Ball/3Ball_No_Screen1.mp4,1,3.409,True,0.8
20,./3Ball/3Ball_No_Screen2.mp4,2,4.025,True,0.8
