trial,video,key,reaction_time,correct,speed
1,./7Ball/7Ball_Arrow5.mp4,5,3.525,True,0.8
2,./7Ball/7Ball_Arrow4.mp4,4,3.296,True,0.8
3,./7Ball/7Ball_Arrow5.mp4,5,2.681,True,0.8
4,./7Ball/7Ball_Arrow6.mp4,6,3.0,True,0.8
5,./7Ball/7Ball_Arrow4.mp4,4,3.088,True,0.8
6,./7Ball/7Ball_Arrow5.mp4,5,2.682,True,0.8
7,./7Ball/7Ball_Arrow4.mp4,4,2.24,True,0.8
8,./7Ball/7Ball_Arrow4.mp4,4,2.472,True,0.8
9,./7Ball/7Ball_Arrow5.mp4,5,2.545,True,0.8
10,./7Ball/7Ball_Arrow6.mp4,6,2.792,True,0.8
11,./7Ball/7Ball_Arrow1.mp4,1,1.376,True,0.8
12,./7Ball/7Ball_Arrow3.mp4,3,3.585,True,0.8
13,./7Ball/7Ball_Arrow7.mp4,7,2.482,True,0.8
14,./7Ball/7Ball_Arrow5.mp4,5,2.677,True,0.8
15,./7Ball/7Ball_Arrow1.mp4,1,1.56,True,0.8
16,./7Ball/7Ball_Arrow1.mp4,1,1.432,True,0.8
17,./7Ball/7Ball_Arrow7.mp4,7,2.672,True,0.8
18,./7Ball/7Ball_Arrow2.mp4,3,2.953,False,0.8
19,./7Ball/7Ball_Arrow5.mp4,4,2.768,False,0.8
20,./7Ball/7Ball_Arrow3.mp4,3,3.272,True,0.8
21,./7Ball/7Ball_Arrow5.mp4,5,2.815,True,0.8
22,./7Ball/7Ball_Arrow2.mp4,2,2.347,True,0.8
23,./7Ball/7Ball_Arrow7.mp4,7,2.416,True,0.8
24,./7Ball/7Ball_Arrow7.mp4,7,2.897,True,0.8
25,./7Ball/7Ball_Arrow4.mp4,4,2.792,True,0.8
26,./7Ball/7Ball_Arrow6.mp4,5,3.793,False,0.8
27,./7Ball/7Ball_Arrow4.mp4,4,2.936,True,0.8
28,./7Ball/7Ball_Arrow7.mp4,7,2.435,True,0.8
29,./7Ball/7Ball_Arrow6.mp4,6,6.272,True,0.8
30,./7Ball/7Ball_Arrow1.mp4,1,3.402,True,0.8
31,./7Ball/7Ball_Arrow2.mp4,2,2.37,True,0.8
32,./7Ball/7Ball_Arrow1.mp4,1,2.577,True,0.8
33,./7Ball/7Ball_Arrow1.mp4,1,2.128,True,0.8
34,./7Ball/7Ball_Arrow1.mp4,1,2.105,True,0.8
35,./7Ball/7Ball_Arrow5.mp4,5,3.056,True,0.8
36,./7Ball/7Ball_Arrow4.mp4,4,2.192,True,0.8
37,./7Ball/7Ball_Arrow1.mp4,1,1.736,True,0.8
38,./7Ball/7Ball_Arrow5.mp4,5,3.0,True,0.8
39,./7Ball/7Ball_Arrow3.mp4,3,3.088,True,0.8
40,./7Ball/7Ball_Arrow7.mp4,7,3.32,True,0.8
