trial,video,key,reaction_time,correct,speed
1,./3Ball/3Ball_Text2.mp4,2,2.449,True,0.8
2,./3Ball/3Ball_Text1.mp4,1,1.992,True,0.8
3,./3Ball/3Ball_Text1.mp4,1,2.057,True,0.8
4,./3Ball/3Ball_Text1.mp4,1,2.105,True,0.8
5,./3Ball/3Ball_Text3.mp4,3,2.688,True,0.8
6,./3Ball/3Ball_Text3.mp4,3,2.824,True,0.8
7,./3Ball/3Ball_Text3.mp4,3,2.752,True,0.8
8,./3Ball/3Ball_Text2.mp4,2,2.593,True,0.8
9,./3Ball/3Ball_Text1.mp4,1,2.184,True,0.8
10,./3Ball/3Ball_Text3.mp4,3,2.914,True,0.8
11,./3Ball/3Ball_Text2.mp4,2,2.962,True,0.8
12,./3Ball/3Ball_Text1.mp4,1,2.061,True,0.8
13,./3Ball/3Ball_Text2.mp4,2,2.745,True,0.8
14,./3Ball/3Ball_Text2.mp4,2,2.825,True,0.8
15,./3Ball/3Ball_Text3.mp4,3,2.959,True,0.8
16,./3Ball/3Ball_Text3.mp4,3,2.512,True,0.8
17,./3Ball/3Ball_Text2.mp4,2,2.832,True,0.8
18,./3Ball/3Ball_Text1.mp4,1,2.193,True,0.8
19,./3Ball/3Ball_Text2.mp4,2,2.409,True,0.8
20,./3Ball/3Ball_Text3.mp4,3,2.735,True,0.8
21,./3Ball/3Ball_Text2.mp4,2,2.702,True,0.8
22,./3Ball/3Ball_Text3.mp4,3,2.721,True,0.8
23,./3Ball/3Ball_Text2.mp4,2,2.6,True,0.8
24,./3Ball/3Ball_Text2.mp4,2,2.603,True,0.8
25,./3Ball/3Ball_Text1.mp4,1,2.161,True,0.8
26,./3Ball/3Ball_Text3.mp4,3,2.945,True,0.8
27,./3Ball/3Ball_Text1.mp4,1,2.272,True,0.8
28,./3Ball/3Ball_Text1.mp4,1,2.217,True,0.8
29,./3Ball/3Ball_Text3.mp4,3,2.888,True,0.8
30,./3Ball/3Ball_Text3.mp4,3,3.079,True,0.8
31,./3Ball/3Ball_Text3.mp4,3,3.36,True,0.8
32,./3Ball/3Ball_Text2.mp4,2,2.67,True,0.8
33,./3Ball/3Ball_Text1.mp4,1,2.424,True,0.8
34,./3Ball/3Ball_Text2.mp4,2,2.892,True,0.8
35,./3Ball/3Ball_Text1.mp4,1,2.099,True,0.8
36,./3Ball/3Ball_Text2.mp4,2,2.591,True,0.8
37,./3Ball/3Ball_Text1.mp4,1,2.067,True,0.8
38,./3Ball/3Ball_Text2.mp4,2,2.665,True,0.8
39,./3Ball/3Ball_Text3.mp4,3,2.615,True,0.8
40,./3Ball/3Ball_Text2.mp4,2,2.568,True,0.8
