trial,video,key,reaction_time,correct,speed
1,./7Ball/7Ball_Eyes1.mp4,1,1.294,True,0.8
2,./7Ball/7Ball_Eyes2.mp4,2,3.063,True,0.8
3,./7Ball/7Ball_Eyes4.mp4,4,2.448,True,0.8
4,./7Ball/7Ball_Eyes3.mp4,3,2.545,True,0.8
5,./7Ball/7Ball_Eyes4.mp4,4,2.584,True,0.8
6,./7Ball/7Ball_Eyes1.mp4,1,1.8,True,0.8
7,./7Ball/7Ball_Eyes4.mp4,4,2.743,True,0.8
8,./7Ball/7Ball_Eyes5.mp4,5,2.832,True,0.8
9,./7Ball/7Ball_Eyes4.mp4,4,2.409,True,0.8
10,./7Ball/7Ball_Eyes4.mp4,3,2.36,False,0.8
11,./7Ball/7Ball_Eyes1.mp4,1,1.151,True,0.8
12,./7Ball/7Ball_Eyes4.mp4,4,2.225,True,0.8
13,./7Ball/7Ball_Eyes6.mp4,6,4.364,True,0.8
14,./7Ball/7Ball_Eyes2.mp4,2,2.656,True,0.8
15,./7Ball/7Ball_Eyes6.mp4,6,5.218,True,0.8
16,./7Ball/7Ball_Eyes6.mp4,6,2.967,True,0.8
17,./7Ball/7Ball_Eyes5.mp4,5,2.497,True,0.8
18,./7Ball/7Ball_Eyes7.mp4,7,2.471,True,0.8
19,./7Ball/7Ball_Eyes6.mp4,6,2.648,True,0.8
20,./7Ball/7Ball_Eyes7.mp4,7,2.88,True,0.8
21,./7Ball/7Ball_Eyes5.mp4,5,4.395,True,0.8
22,./7Ball/7Ball_Eyes3.mp4,3,2.92,True,0.8
23,./7Ball/7Ball_Eyes4.mp4,4,2.29,True,0.8
24,./7Ball/7Ball_Eyes5.mp4,5,3.175,True,0.8
25,./7Ball/7Ball_Eyes2.mp4,2,4.736,True,0.8
26,./7Ball/7Ball_Eyes2.mp4,2,2.977,True,0.8
27,./7Ball/7Ball_Eyes1.mp4,1,1.064,True,0.8
28,./7Ball/7Ball_Eyes2.mp4,2,3.441,True,0.8
29,./7Ball/7Ball_Eyes4.mp4,4,2.492,True,0.8
30,./7Ball/7Ball_Eyes2.mp4,2,4.014,True,0.8
31,./7Ball/7Ball_Eyes5.mp4,5,3.185,True,0.8
32,./7Ball/7Ball_Eyes4.mp4,4,2.138,True,0.8
33,./7Ball/7Ball_Eyes2.mp4,2,2.666,True,0.8
34,./7Ball/7Ball_Eyes7.mp4,7,2.328,True,0.8
35,./7Ball/7Ball_Eyes5.mp4,5,2.969,True,0.8
36,./7Ball/7Ball_Eyes7.mp4,7,2.464,True,0.8
37,./7Ball/7Ball_Eyes7.mp4,7,2.322,True,0.8
38,./7Ball/7Ball_Eyes4.mp4,4,2.241,True,0.8
39,./7Ball/7Ball_Eyes4.mp4,4,2.144,True,0.8
40,./7Ball/7Ball_Eyes3.mp4,3,2.664,True,0.8
