trial,video,key,reaction_time,correct,speed
1,./5Ball/5Ball_Eye1.mp4,1,1.697,True,0.8
2,./5Ball/5Ball_Eye3.mp4,3,2.388,True,0.8
3,./5Ball/5Ball_Eye5.mp4,5,2.681,True,0.8
4,./5Ball/5Ball_Eye5.mp4,5,2.313,True,0.8
5,./5Ball/5Ball_Eye3.mp4,3,2.689,True,0.8
6,./5Ball/5Ball_Eye5.mp4,5,2.667,True,0.8
7,./5Ball/5Ball_Eye3.mp4,3,2.864,True,0.8
8,./5Ball/5Ball_Eye4.mp4,4,2.937,True,0.8
9,./5Ball/5Ball_Eye1.mp4,1,2.584,True,0.8
10,./5Ball/5Ball_Eye1.mp4,1,2.569,True,0.8
11,./5Ball/5Ball_Eye2.mp4,2,2.953,True,0.8
12,./5Ball/5Ball_Eye4.mp4,4,2.811,True,0.8
13,./5Ball/5Ball_Eye3.mp4,3,2.62,True,0.8
14,./5Ball/5Ball_Eye5.mp4,5,2.538,True,0.8
15,./5Ball/5Ball_Eye3.mp4,3,2.488,True,0.8
16,./5Ball/5Ball_Eye2.mp4,2,3.298,True,0.8
17,./5Ball/5Ball_Eye1.mp4,1,3.136,True,0.8
18,./5Ball/5Ball_Eye2.mp4,2,3.52,True,0.8
19,./5Ball/5Ball_Eye3.mp4,3,3.071,True,0.8
20,./5Ball/5Ball_Eye1.mp4,1,2.239,True,0.8
21,./5Ball/5Ball_Eye3.mp4,3,2.793,True,0.8
22,./5Ball/5Ball_Eye3.mp4,3,2.753,True,0.8
23,./5Ball/5Ball_Eye2.mp4,2,2.857,True,0.8
24,./5Ball/5Ball_Eye4.mp4,4,2.928,True,0.8
25,./5Ball/5Ball_Eye2.mp4,2,3.362,True,0.8
26,./5Ball/5Ball_Eye4.mp4,4,2.937,True,0.8
27,./5Ball/5Ball_Eye3.mp4,3,2.968,True,0.8
28,./5Ball/5Ball_Eye2.mp4,2,3.216,True,0.8
29,./5Ball/5Ball_Eye5.mp4,5,2.752,True,0.8
30,./5Ball/5Ball_Eye4.mp4,4,2.955,True,0.8
31,./5Ball/5Ball_Eye1.mp4,1,2.379,True,0.8
32,./5Ball/5Ball_Eye2.mp4,2,3.456,True,0.8
33,./5Ball/5Ball_Eye4.mp4,4,3.664,True,0.8
34,./5Ball/5Ball_Eye4.mp4,4,3.505,True,0.8
35,./5Ball/5Ball_Eye4.mp4,4,3.417,True,0.8
36,./5Ball/5Ball_Eye2.mp4,2,4.217,True,0.8
37,./5Ball/5Ball_Eye3.mp4,3,2.482,True,0.8
38,./5Ball/5Ball_Eye5.mp4,5,2.458,True,0.8
39,./5Ball/5Ball_Eye3.mp4,3,2.905,True,0.8
40,./5Ball/5Ball_Eye3.mp4,3,2.695,True,0.8
