trial,video,key,reaction_time,correct,speed
1,./3Ball/3Ball_Arrows3.mp4,3,2.354,True,0.8
2,./3Ball/3Ball_Arrows3.mp4,3,2.35,True,0.8
3,./3Ball/3Ball_Arrows1.mp4,1,1.662,True,0.8
4,./3Ball/3Ball_Arrows1.mp4,1,1.733,True,0.8
5,./3Ball/3Ball_Arrows2.mp4,2,1.984,True,0.8
6,./3Ball/3Ball_Arrows2.mp4,2,2.287,True,0.8
7,./3Ball/3Ball_Arrows2.mp4,2,2.264,True,0.8
8,./3Ball/3Ball_Arrows1.mp4,1,1.711,True,0.8
9,./3Ball/3Ball_Arrows3.mp4,3,2.431,True,0.8
10,./3Ball/3Ball_Arrows1.mp4,1,1.71,True,0.8
11,./3Ball/3Ball_Arrows2.mp4,2,1.968,True,0.8
12,./3Ball/3Ball_Arrows1.mp4,1,1.725,True,0.8
13,./3Ball/3Ball_Arrows2.mp4,2,2.167,True,0.8
14,./3Ball/3Ball_Arrows3.mp4,3,2.335,True,0.8
15,./3Ball/3Ball_Arrows2.mp4,2,2.134,True,0.8
16,./3Ball/3Ball_Arrows3.mp4,3,2.447,True,0.8
17,./3Ball/3Ball_Arrows2.mp4,2,2.208,True,0.8
18,./3Ball/3Ball_Arrows3.mp4,3,2.382,True,0.8
19,./3Ball/3Ball_Arrows2.mp4,2,2.143,True,0.8
20,./3Ball/3Ball_Arrows2.mp4,2,2.239,True,0.8
21,./3Ball/3Ball_Arrows1.mp4,1,1.718,True,0.8
22,./3Ball/3Ball_Arrows2.mp4,2,2.326,True,0.8
23,./3Ball/3Ball_Arrows1.mp4,1,1.766,True,0.8
24,./3Ball/3Ball_Arrows2.mp4,2,2.288,True,0.8
25,./3Ball/3Ball_Arrows2.mp4,2,2.391,True,0.8
26,./3Ball/3Ball_Arrows3.mp4,3,2.422,True,0.8
27,./3Ball/3Ball_Arrows3.mp4,3,2.414,True,0.8
28,./3Ball/3Ball_Arrows2.mp4,2,2.151,True,0.8
29,./3Ball/3Ball_Arrows1.mp4,1,1.758,True,0.8
30,./3Ball/3Ball_Arrows1.mp4,1,1.553,True,0.8
31,./3Ball/3Ball_Arrows3.mp4,3,2.494,True,0.8
32,./3Ball/3Ball_Arrows2.mp4,2,2.255,True,0.8
33,./3Ball/3Ball_Arrows3.mp4,3,2.431,True,0.8
34,./3Ball/3Ball_Arrows2.mp4,2,2.341,True,0.8
35,./3Ball/3Ball_Arrows3.mp4,3,2.446,True,0.8
36,./3Ball/3Ball_Arrows1.mp4,1,1.69,True,0.8
37,./3Ball/3Ball_Arrows1.mp4,1,1.638,True,0.8
38,./3Ball/3Ball_Arrows2.mp4,2,2.249,True,0.8
39,./3Ball/3Ball_Arrows1.mp4,1,1.636,True,0.8
40,./3Ball/3Ball_Arrows3.mp4,3,2.391,True,0.8
