trial,video,key,reaction_time,correct,speed
1,./7Ball/7Ball_No_Screen7.mp4,7,5.682,True,0.8
2,./7Ball/7Ball_No_Screen4.mp4,4,5.696,True,0.8
3,./7Ball/7Ball_No_Screen6.mp4,6,5.135,True,0.8
4,./7Ball/7Ball_No_Screen2.mp4,2,4.023,True,0.8
5,./7Ball/7Ball_No_Screen2.mp4,2,5.641,True,0.8
6,./7Ball/7Ball_No_Screen6.mp4,7,5.231,False,0.8
7,./7Ball/7Ball_No_Screen7.mp4,7,5.232,True,0.8
8,./7Ball/7Ball_No_Screen2.mp4,3,3.801,False,0.8
9,./7Ball/7Ball_No_Screen4.mp4,4,5.168,True,0.8
10,./7Ball/7Ball_No_Screen3.mp4,3,6.665,True,0.8
11,./7Ball/7Ball_No_Screen4.mp4,4,5.697,True,0.8
12,./7Ball/7Ball_No_Screen2.mp4,2,5.568,True,0.8
13,./7Ball/7Ball_No_Screen7.mp4,7,6.429,True,0.8
14,./7Ball/7Ball_No_Screen7.mp4,7,5.864,True,0.8
15,./7Ball/7Ball_No_Screen6.mp4,6,4.52,True,0.8
16,./7Ball/7Ball_No_Screen4.mp4,4,2.696,True,0.8
17,./7Ball/7Ball_No_Screen2.mp4,2,4.627,True,0.8
18,./7Ball/7Ball_No_Screen3.mp4,3,5.259,True,0.8
19,./7Ball/7Ball_No_Screen2.mp4,2,5.28,True,0.8
20,./7Ball/7Ball_No_Screen2.mp4,2,5.424,True,0.8
21,./7Ball/7Ball_No_Screen7.mp4,7,4.096,True,0.8
22,./7Ball/7Ball_No_Screen1.mp4,1,4.17,True,0.8
23,./7Ball/7Ball_No_Screen2.mp4,2,5.242,True,0.8
24,./7Ball/7Ball_No_Screen1.mp4,1,4.385,True,0.8
25,./7Ball/7Ball_No_Screen3.mp4,3,5.208,True,0.8
26,./7Ball/7Ball_No_Screen2.mp4,2,5.267,True,0.8
27,./7Ball/7Ball_No_Screen3.mp4,3,5.946,True,0.8
28,./7Ball/7Ball_No_Screen6.mp4,5,6.129,False,0.8
29,./7Ball/7Ball_No_Screen4.mp4,4,5.282,True,0.8
30,./7Ball/7Ball_No_Screen7.mp4,7,5.945,True,0.8
31,./7Ball/7Ball_No_Screen3.mp4,3,6.297,True,0.8
32,./7Ball/7Ball_No_Screen1.mp4,1,4.84,True,0.8
33,./7Ball/7Ball_No_Screen3.mp4,3,6.065,True,0.8
34,./7Ball/7Ball_No_Screen5.mp4,5,5.753,True,0.8
35,./7Ball/7Ball_No_Screen3.mp4,3,4.912,True,0.8
36,./7Ball/7Ball_No_Screen5.mp4,5,5.768,True,0.8
37,./7Ball/7Ball_No_Screen5.mp4,5,5.592,True,0.8
38,./7Ball/7Ball_No_Screen6.mp4,6,5.649,True,0.8
39,./7Ball/7Ball_No_Screen4.mp4,4,4.808,True,0.8
40,./7Ball/7Ball_No_Screen5.mp4,5,5.289,True,0.8
