trial,video,key,reaction_time,correct,speed
1,./7Ball/7Ball_Text2.mp4,2,2.879,True,0.8
2,./7Ball/7Ball_Text5.mp4,5,3.72,True,0.8
3,./7Ball/7Ball_Text1.mp4,1,1.464,True,0.8
4,./7Ball/7Ball_Text2.mp4,2,3.168,True,0.8
5,./7Ball/7Ball_Text4.mp4,4,3.496,True,0.8
6,./7Ball/7Ball_Text1.mp4,1,1.912,True,0.8
7,./7Ball/7Ball_Text3.mp4,3,3.872,True,0.8
8,./7Ball/7Ball_Text2.mp4,2,3.169,True,0.8
9,./7Ball/7Ball_Text1.mp4,1,2.609,True,0.8
10,./7Ball/7Ball_Text5.mp4,5,4.801,True,0.8
11,./7Ball/7Ball_Text6.mp4,2,2.209,False,0.8
12,./7Ball/7Ball_Text4.mp4,4,2.976,True,0.8
13,./7Ball/7Ball_Text4.mp4,4,2.319,True,0.8
14,./7Ball/7Ball_Text7.mp4,7,3.072,True,0.8
15,./7Ball/7Ball_Text7.mp4,7,3.543,True,0.8
16,./7Ball/7Ball_Text2.mp4,2,3.937,True,0.8
17,./7Ball/7Ball_Text1.mp4,1,1.655,True,0.8
18,./7Ball/7Ball_Text6.mp4,6,4.128,True,0.8
19,./7Ball/7Ball_Text4.mp4,4,2.569,True,0.8
20,./7Ball/7Ball_Text4.mp4,4,3.686,True,0.8
21,./7Ball/7Ball_Text1.mp4,1,2.458,True,0.8
22,./7Ball/7Ball_Text1.mp4,1,1.553,True,0.8
23,./7Ball/7Ball_Text2.mp4,2,3.848,True,0.8
24,./7Ball/7Ball_Text4.mp4,4,3.123,True,0.8
25,./7Ball/7Ball_Text4.mp4,4,2.712,True,0.8
26,./7Ball/7Ball_Text4.mp4,4,3.914,True,0.8
27,./7Ball/7Ball_Text6.mp4,6,4.281,True,0.8
28,./7Ball/7Ball_Text1.mp4,1,2.936,True,0.8
29,./7Ball/7Ball_Text3.mp4,3,4.064,True,0.8
30,./7Ball/7Ball_Text4.mp4,4,3.52,True,0.8
31,./7Ball/7Ball_Text2.mp4,2,4.024,True,0.8
32,./7Ball/7Ball_Text5.mp4,5,4.248,True,0.8
33,./7Ball/7Ball_Text1.mp4,1,2.416,True,0.8
34,./7Ball/7Ball_Text1.mp4,1,2.552,True,0.8
35,./7Ball/7Ball_Text2.mp4,2,3.777,True,0.8
36,./7Ball/7Ball_Text1.mp4,1,3.415,True,0.8
37,./7Ball/7Ball_Text3.mp4,3,4.047,True,0.8
38,./7Ball/7Ball_Text5.mp4,5,4.816,True,0.8
39,./7Ball/7Ball_Text6.mp4,6,4.346,True,0.8
40,./7Ball/7Ball_Text7.mp4,7,3.712,True,0.8
